index,u,v,edge_generator,word,length,tau_monodromy,deck_matrix,lambda2,memory_coeff_u1_u2_u3
106,11,156,S10,S3 S4 S10 S3 S12,5,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
107,12,20,S2,S1 S6 S9 S2 S10 S6,6,1,"[[-1, 0, 2], [2, -1, -2], [0, 0, 1]]",101111000,"1,-2,1"
108,12,16,S3,S1 S6 S9 S3 S6 S11 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
109,12,162,S4,S1 S6 S9 S4 S8 S5 S1,7,-1,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]",001000001,
110,12,87,S5,S1 S6 S9 S5 S10 S7,6,1,"[[1, 0, 0], [0, -1, 0], [2, 0, -1]]",000010101,"1,-1,0"
111,12,36,S6,S1 S6 S9 S6 S3 S11 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
112,12,13,S7,S1 S6 S9 S7 S8 S12 S2,7,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
113,12,69,S8,S1 S6 S9 S8 S10 S6 S1,7,-1,"[[-1, 0, 0], [2, 1, 0], [0, 0, 1]]",100100000,
114,12,153,S10,S1 S6 S9 S10 S6 S7,6,1,"[[-1, 0, 2], [0, -1, 0], [0, 0, 1]]",101010000,"0,1,-1"
115,12,14,S11,S1 S6 S9 S11 S2 S5,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"0,-1,1"
116,12,15,S12,S1 S6 S9 S12 S10 S7 S2,7,-1,"[[1, 0, 0], [0, -1, 0], [2, -2, 1]]",000010110,
117,13,21,S2,S2 S12 S8 S2 S5 S8,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
118,13,17,S3,S2 S12 S8 S3 S11 S10 S3,7,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
119,13,161,S4,S2 S12 S8 S4 S8 S12 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
120,13,85,S5,S2 S12 S8 S5 S8 S12,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
121,13,37,S6,S2 S12 S8 S6 S8 S12 S3,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
122,13,99,S9,S2 S12 S8 S9 S12 S6 S1,7,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
123,13,154,S10,S2 S12 S8 S10 S7 S9 S2,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
