index,u,v,edge_generator,word,length,tau_monodromy,deck_matrix,lambda2,memory_coeff_u1_u2_u3
535,79,126,S2,S10 S2 S9 S2,4,1,"[[1, 0, 0], [0, 1, 0], [2, 0, 1]]",000000100,"2,-1,-1"
536,79,146,S6,S10 S6 S10 S5,4,1,"[[1, -2, 2], [0, -1, 2], [0, -2, 3]]",011011011,"1,-2,1"
537,80,104,S1,S7 S1 S7 S1,4,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
538,80,128,S2,S7 S2 S7 S3,4,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"1,-2,1"
539,80,152,S3,S7 S3 S7 S2,4,1,"[[1, -2, 2], [0, 1, 0], [0, 0, 1]]",011000000,"1,-2,1"
540,80,92,S11,S7 S11 S12,3,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
541,80,88,S12,S7 S12 S11,3,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
542,81,105,S1,S8 S7 S1 S8 S6,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
543,81,129,S2,S8 S7 S2 S7 S8 S1,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-3,3,0"
544,81,153,S3,S8 S7 S3 S6 S7,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
545,81,152,S6,S8 S7 S6 S7 S2,5,-1,"[[-1, 2, -2], [0, 1, 0], [0, 0, 1]]",111000000,
546,81,93,S9,S8 S7 S9 S12 S10,5,-1,"[[1, 0, 0], [-2, -1, 2], [-2, 0, 1]]",000111100,
547,81,84,S10,S8 S7 S10 S9 S6 S3,6,1,"[[-1, 0, 0], [0, -1, 0], [0, 0, 1]]",100010000,"-1,0,1"
548,81,95,S11,S8 S7 S11 S12 S8,5,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
549,81,91,S12,S8 S7 S12 S11 S8,5,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
550,82,106,S1,S9 S7 S1 S9 S5,5,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
551,82,131,S2,S9 S7 S2 S4 S7 S3,6,1,"[[1, -2, 0], [0, 1, 0], [0, -2, 1]]",010000010,"-1,1,0"
552,82,155,S3,S9 S7 S3 S7 S10 S2,6,1,"[[-1, 2, -2], [0, 1, 0], [0, 0, -1]]",111000001,"1,1,-2"
553,82,154,S6,S9 S7 S6 S7 S9 S2,6,1,"[[1, 0, 2], [0, 1, 0], [0, 0, 1]]",001000000,"1,2,-3"
554,82,92,S9,S9 S7 S9 S12,4,1,"[[1, 0, 0], [0, 1, -2], [0, 0, 1]]",000001000,"1,1,-2"
555,82,85,S10,S9 S7 S10 S8 S12,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
556,82,94,S11,S9 S7 S11 S9 S7,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
557,82,90,S12,S9 S7 S12 S11 S9,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
558,83,107,S1,S10 S7 S1 S4 S7 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
559,83,130,S2,S10 S7 S2 S9 S5 S2,6,1,"[[1, 0, 0], [-2, 1, 0], [0, 0, 1]]",000100000,"-1,0,1"
560,83,154,S3,S10 S7 S3 S7 S9 S2,6,1,"[[-1, 0, -2], [0, 1, 0], [0, 0, -1]]",101000001,"1,1,-2"
561,83,155,S6,S10 S7 S6 S7 S10 S2,6,1,"[[1, -2, 2], [0, 1, 0], [0, 0, 1]]",011000000,"1,0,-1"
562,83,95,S9,S10 S7 S9 S12 S8,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
563,83,86,S10,S10 S7 S10 S1 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
564,83,93,S11,S10 S7 S11 S12 S10,5,-1,"[[1, 0, 0], [2, 1, -2], [2, 0, -1]]",000101101,
565,83,89,S12,S10 S7 S12 S11 S10,5,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
566,84,108,S1,S3 S6 S9 S1 S12 S4 S1,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 2, -1]]",100010011,
567,84,140,S2,S3 S6 S9 S2 S12 S10 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
568,84,164,S3,S3 S6 S9 S3 S6 S11,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
569,84,160,S6,S3 S6 S9 S6 S3 S11,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
570,84,85,S7,S3 S6 S9 S7 S8 S12,6,1,"[[-1, 0, 0], [0, -1, 0], [0, 0, 1]]",100010000,"0,1,-1"
571,84,93,S8,S3 S6 S9 S8 S12 S10,6,1,"[[-1, 0, 0], [0, -1, 0], [-2, 0, 1]]",100010100,"0,1,-1"
572,84,86,S11,S3 S6 S9 S11 S1 S4 S1,7,-1,"[[-1, 0, 0], [0, -1, 0], [0, 0, -1]]",100010001,
573,84,87,S12,S3 S6 S9 S12 S10 S7,6,1,"[[-1, 0, 0], [0, -1, 0], [-2, 0, 1]]",100010100,"1,0,-1"
574,85,109,S1,S12 S8 S1 S11 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [-2, 0, 1]]",000000100,"0,-1,1"
575,85,141,S2,S12 S8 S2 S5 S8 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
576,85,165,S3,S12 S8 S3 S11 S10 S1,6,1,"[[-1, 0, 0], [0, -1, 0], [0, -2, 1]]",100010010,"0,0,0"
577,85,161,S6,S12 S8 S6 S8 S12 S1,6,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"0,1,-1"
578,85,87,S11,S12 S8 S11 S10 S7,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
579,85,86,S12,S12 S8 S12 S1 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,1,0"
580,86,142,S2,S1 S4 S1 S2 S5 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,-1,0"
581,86,167,S3,S1 S4 S1 S3 S2 S4 S1,7,-1,"[[1, -2, 0], [0, -1, 0], [0, -2, 1]]",010010010,
582,86,163,S6,S1 S4 S1 S6 S2 S5 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
583,86,87,S7,S1 S4 S1 S7 S10 S7,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
584,86,95,S8,S1 S4 S1 S8 S12 S8,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,-1,0"
585,87,110,S1,S7 S10 S1 S7 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
586,87,143,S2,S7 S10 S2 S5 S9 S2,6,1,"[[1, 0, 0], [0, 1, 0], [2, 0, 1]]",000000100,"1,0,-1"
587,87,166,S3,S7 S10 S3 S7 S5 S2,6,1,"[[1, -2, 2], [0, -1, 2], [0, -2, 3]]",011011011,"0,1,-1"
588,87,162,S6,S7 S10 S6 S8 S5 S1,6,1,"[[-1, -2, 2], [0, -1, 0], [0, -2, 1]]",111010010,"0,1,-1"
589,87,94,S8,S7 S10 S8 S9 S7,5,-1,"[[1, 0, 0], [2, 1, -2], [2, 0, -1]]",000101101,
590,88,116,S1,S11 S1 S12 S1,4,1,"[[1, 0, 0], [2, 1, -2], [0, 0, 1]]",000101000,"-1,2,-1"
591,88,92,S7,S11 S7 S12,3,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
592,88,89,S8,S11 S8 S11 S10,4,1,"[[1, 0, 0], [0, 1, 0], [0, -2, 1]]",000000010,"1,1,-2"
593,88,90,S9,S11 S9 S11 S9,4,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
594,88,91,S10,S11 S10 S11 S8,4,1,"[[1, 0, 0], [0, 1, 0], [2, -2, 1]]",000000110,"1,1,-2"
595,89,117,S1,S10 S11 S1 S5 S8 S3,6,1,"[[1, 0, -2], [0, 1, -2], [0, 2, -3]]",001001010,"0,-2,2"
596,89,133,S2,S10 S11 S2 S11 S4,5,-1,"[[1, 0, 0], [0, 1, 0], [2, 2, -1]]",000000111,
597,89,161,S3,S10 S11 S3 S8 S12 S1,6,1,"[[-1, -2, 2], [0, -1, 0], [0, -2, 1]]",111010010,"0,0,0"
598,89,165,S6,S10 S11 S6 S11 S10 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,-1,1"
599,89,93,S7,S10 S11 S7 S12 S10,5,-1,"[[1, 0, 0], [2, -1, 0], [2, -2, 1]]",000110110,
600,89,91,S9,S10 S11 S9 S11 S8,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
601,89,90,S10,S10 S11 S10 S11 S9,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
602,90,118,S1,S9 S11 S1 S5 S1,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
603,90,135,S2,S9 S11 S2 S4 S2,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
604,90,163,S3,S9 S11 S3 S2 S5 S1,6,1,"[[1, 0, -2], [0, -1, 0], [0, 0, -1]]",001010001,"0,1,-1"
605,90,167,S6,S9 S11 S6 S2 S4 S1,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 2, -1]]",110000011,"1,0,-1"
606,90,94,S7,S9 S11 S7 S9 S7,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
607,90,91,S8,S9 S11 S8 S11 S8,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
608,91,119,S1,S8 S11 S1 S12 S8 S3,6,1,"[[1, 0, -2], [2, -1, -2], [2, -2, -1]]",001111111,"-1,-1,2"
609,91,134,S2,S8 S11 S2 S8 S4 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,-1,1"
610,91,162,S3,S8 S11 S3 S8 S5 S1,6,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"-1,1,0"
611,91,166,S6,S8 S11 S6 S7 S5 S2,6,1,"[[-1, 2, -2], [0, 1, -2], [0, 0, -1]]",111001001,"-1,1,0"
612,91,95,S7,S8 S11 S7 S12 S8,5,-1,"[[1, 0, 0], [2, -1, 0], [2, -2, 1]]",000110110,
613,92,112,S1,S12 S1 S11 S1,4,1,"[[1, 0, 0], [2, 1, 0], [0, 0, 1]]",000100000,"-1,2,-1"
614,92,157,S6,S12 S6 S12 S4,4,1,"[[1, 2, -2], [0, 3, -2], [0, 2, -1]]",011011011,"-2,1,1"
615,93,113,S1,S10 S12 S1 S6 S11 S1,6,1,"[[1, 0, 0], [2, 1, 0], [2, 0, 1]]",000100100,"1,-1,0"
616,93,137,S2,S10 S12 S2 S9 S6 S2,6,1,"[[1, 0, 0], [0, 1, 0], [2, 0, 1]]",000000100,"1,-1,0"
617,93,157,S3,S10 S12 S3 S12 S4,5,-1,"[[-1, -2, 2], [-2, -1, 2], [-2, -2, 3]]",111111111,
618,93,156,S6,S10 S12 S6 S3 S12,5,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
619,94,114,S1,S7 S9 S1 S7 S5 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,0,1"
620,94,139,S2,S7 S9 S2 S10 S7 S3,6,1,"[[1, -2, 0], [2, -1, -2], [2, -2, -1]]",010111111,"-1,-1,2"
621,94,159,S3,S7 S9 S3 S7 S4 S2,6,1,"[[1, -2, 2], [0, 1, 0], [0, 0, 1]]",011000000,"1,-1,0"
622,94,158,S6,S7 S9 S6 S8 S4 S1,6,1,"[[-1, -2, 2], [0, -1, 0], [0, -2, 1]]",111010010,"1,-1,0"
623,95,115,S1,S8 S12 S1 S4 S11 S1,6,1,"[[1, 0, 0], [2, 1, 0], [0, 0, 1]]",000100000,"0,1,-1"
624,95,138,S2,S8 S12 S2 S8 S5 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
625,95,158,S3,S8 S12 S3 S8 S4 S1,6,1,"[[1, 2, -2], [0, 3, -2], [0, 2, -1]]",011011011,"1,0,-1"
626,95,159,S6,S8 S12 S6 S7 S4 S2,6,1,"[[-1, 2, -2], [0, 1, -2], [0, 0, -1]]",111001001,"1,0,-1"
627,96,144,S2,S1 S6 S2 S6,4,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"-1,-1,2"
628,96,120,S3,S1 S6 S3 S6 S2,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
629,96,118,S4,S1 S6 S4 S5 S1,5,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
630,96,111,S5,S1 S6 S5 S4 S1,5,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
631,96,153,S8,S1 S6 S8 S6 S7,5,-1,"[[-1, -2, 2], [0, 1, 0], [0, 0, 1]]",111000000,
632,97,145,S2,S1 S6 S7 S2 S6 S8,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"2,-2,0"
633,97,121,S3,S1 S6 S7 S3 S7 S6,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"0,-3,3"
634,97,117,S4,S1 S6 S7 S4 S5 S8 S3,7,-1,"[[1, 0, -2], [0, -1, 2], [0, 0, 1]]",001011000,
635,97,109,S5,S1 S6 S7 S5 S11 S4 S1,7,-1,"[[1, 0, 0], [0, -1, 0], [-2, 0, 1]]",000010100,
636,97,101,S6,S1 S6 S7 S6 S8 S3,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-1,-2,3"
637,97,152,S8,S1 S6 S7 S8 S7 S2,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"2,-3,1"
638,97,99,S11,S1 S6 S7 S11 S12 S6 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
639,97,98,S12,S1 S6 S7 S12 S11 S6 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
640,98,146,S2,S1 S6 S11 S2 S10 S5,6,1,"[[1, 0, -2], [0, -1, 2], [0, 0, -1]]",001011001,"2,-2,0"
641,98,123,S3,S1 S6 S11 S3 S6 S9 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
642,98,119,S4,S1 S6 S11 S4 S12 S8 S3,7,-1,"[[1, 0, -2], [-2, 1, 2], [0, 0, -1]]",001101001,
643,98,110,S5,S1 S6 S11 S5 S7 S4 S1,7,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
644,98,103,S6,S1 S6 S11 S6 S1 S10,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,-1,1"
645,98,99,S7,S1 S6 S11 S7 S12 S6 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [2, 2, -1]]",000000111,
646,98,155,S8,S1 S6 S11 S8 S7 S10 S2,7,-1,"[[1, -2, 0], [0, 1, 0], [0, 0, -1]]",010000001,
647,99,147,S2,S1 S6 S12 S2 S6 S9,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"0,-1,1"
648,99,122,S3,S1 S6 S12 S3 S10 S5 S2,7,-1,"[[-1, 0, 0], [0, -1, 2], [0, -2, 3]]",100011011,
649,99,116,S4,S1 S6 S12 S4 S12 S1,6,1,"[[1, 0, 0], [-2, -1, 2], [-2, -2, 3]]",000111111,"-2,1,1"
650,99,108,S5,S1 S6 S12 S5 S12 S4 S1,7,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
651,99,102,S6,S1 S6 S12 S6 S1 S9,6,1,"[[1, 0, 0], [0, 1, 0], [0, 2, 1]]",000000010,"-1,-2,3"
652,99,154,S8,S1 S6 S12 S8 S7 S9 S2,7,-1,"[[1, -2, 0], [0, 1, 0], [0, 0, -1]]",010000001,
653,100,148,S2,S1 S2 S3,3,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
654,100,124,S3,S1 S3 S2,3,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
655,101,149,S2,S3 S8 S2 S8 S1,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
656,101,125,S3,S3 S8 S3 S8 S2,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
657,101,109,S4,S3 S8 S4 S11 S4 S1,6,1,"[[-3, 0, 2], [0, 1, 0], [-2, 0, 1]]",001000100,"1,-1,0"
658,101,105,S7,S3 S8 S7 S8 S6,5,-1,"[[-1, 2, 2], [0, 1, 0], [0, 0, 1]]",111000000,
659,101,115,S11,S3 S8 S11 S4 S11 S1,6,1,"[[-3, 0, 2], [0, 1, 0], [-2, 0, 1]]",001000100,"1,2,-3"
660,102,151,S2,S9 S1 S2 S3 S9,5,-1,"[[1, 0, -2], [0, 1, 0], [0, 0, -1]]",001000001,
661,102,127,S3,S9 S1 S3 S10 S2,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, -2, 1]]",100000010,
662,102,108,S4,S9 S1 S4 S12 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, -2, 1]]",000000010,"1,0,-1"
663,102,116,S5,S9 S1 S5 S12 S1,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
664,102,106,S7,S9 S1 S7 S9 S5,5,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
665,102,150,S8,S9 S1 S8 S3 S10,5,-1,"[[-1, -2, 2], [0, 1, 0], [0, -2, 1]]",111000010,
666,102,114,S11,S9 S1 S11 S7 S5 S1,6,1,"[[1, 0, 0], [0, 1, -2], [0, 0, 1]]",000001000,"-1,3,-2"
667,102,118,S12,S9 S1 S12 S5 S1,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
668,103,150,S2,S10 S1 S2 S3 S10,5,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
669,103,126,S3,S10 S1 S3 S9 S2,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
670,103,110,S4,S10 S1 S4 S7 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
671,103,119,S5,S10 S1 S5 S12 S8 S3,6,1,"[[1, 0, -2], [0, -1, 0], [0, 0, -1]]",001010001,"-1,0,1"
672,103,107,S7,S10 S1 S7 S4 S7 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
673,103,151,S8,S10 S1 S8 S3 S9,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
674,103,113,S11,S10 S1 S11 S6 S11 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,1,-1"
675,103,117,S12,S10 S1 S12 S5 S8 S3,6,1,"[[1, 0, -2], [0, -1, 0], [0, 0, -1]]",001010001,"-1,0,1"
676,104,152,S2,S1 S7 S2 S7 S2,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
677,104,128,S3,S1 S7 S3 S7 S3,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
678,104,106,S5,S1 S7 S5 S9 S5,5,-1,"[[1, 0, 0], [2, -1, 0], [0, 0, 1]]",000110000,
679,104,105,S6,S1 S7 S6 S8 S6,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
680,104,145,S8,S1 S7 S8 S6 S8,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
681,104,116,S11,S1 S7 S11 S12 S1,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
682,104,112,S12,S1 S7 S12 S11 S1,5,-1,"[[1, 0, 0], [0, -1, 0], [0, 0, 1]]",000010000,
683,105,153,S2,S6 S8 S2 S6 S7,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
684,105,129,S3,S6 S8 S3 S7 S8 S1,6,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"0,2,-2"
685,105,106,S4,S6 S8 S4 S9 S5,5,-1,"[[3, -2, 0], [2, -1, 0], [0, 0, -1]]",110110001,
686,105,107,S5,S6 S8 S5 S4 S7 S1,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 2, -1]]",110000011,"0,1,-1"
687,105,119,S11,S6 S8 S11 S12 S8 S3,6,1,"[[-1, 2, -2], [0, 1, -2], [0, 0, -1]]",111001001,"1,0,-1"
688,105,115,S12,S6 S8 S12 S4 S11 S1,6,1,"[[-1, -2, 0], [0, -1, 0], [-2, -2, 1]]",110010110,"0,2,-2"
689,106,155,S2,S5 S9 S2 S7 S10 S2,6,1,"[[-1, 2, 0], [-2, 3, 0], [0, 0, 1]]",110110000,"-1,0,1"
690,106,131,S3,S5 S9 S3 S4 S7 S3,6,1,"[[-1, 2, 0], [-2, 3, 0], [-2, 2, 1]]",110110110,"-1,0,1"
691,106,107,S6,S5 S9 S6 S4 S7 S1,6,1,"[[1, 0, 0], [2, -1, 0], [2, 0, -1]]",000110101,"-1,1,0"
692,106,146,S8,S5 S9 S8 S10 S5,5,-1,"[[-1, 0, 2], [-2, 1, 2], [0, 0, 1]]",101101000,
693,106,118,S11,S5 S9 S11 S5 S1,5,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
694,106,114,S12,S5 S9 S12 S7 S5 S1,6,1,"[[1, 0, 0], [2, 1, -2], [0, 0, 1]]",000101000,"-3,2,1"
695,107,154,S2,S1 S7 S4 S2 S7 S9 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 2, 1]]",110000010,
696,107,130,S3,S1 S7 S4 S3 S9 S5 S2,7,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
697,107,147,S8,S1 S7 S4 S8 S6 S9,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 2, -1]]",110000011,"1,-1,0"
698,107,117,S11,S1 S7 S4 S11 S5 S8 S3,7,-1,"[[1, 0, -2], [2, -1, -2], [2, 0, -3]]",001111100,
699,107,113,S12,S1 S7 S4 S12 S6 S11 S1,7,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
700,108,164,S2,S1 S4 S12 S2 S6 S11,6,1,"[[-1, 2, 0], [0, 1, 0], [0, 2, -1]]",110000011,"0,0,0"
701,108,140,S3,S1 S4 S12 S3 S12 S10 S1,7,-1,"[[1, 0, 0], [2, -1, 0], [2, -2, 1]]",000110110,
702,108,116,S6,S1 S4 S12 S6 S12 S1,6,1,"[[1, 0, 0], [0, -1, 2], [0, -2, 3]]",000011011,"-2,1,1"
703,108,109,S7,S1 S4 S12 S7 S11 S4 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [2, 2, -1]]",000000111,
704,108,157,S8,S1 S4 S12 S8 S12 S4,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,1,0"
705,108,110,S11,S1 S4 S12 S11 S7 S4 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
706,109,165,S2,S1 S4 S11 S2 S11 S10 S1,7,-1,"[[-1, 2, 0], [0, 1, 0], [-2, 2, 1]]",110000110,
707,109,141,S3,S1 S4 S11 S3 S5 S8 S2,7,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
708,109,117,S6,S1 S4 S11 S6 S5 S8 S3,7,-1,"[[1, 0, -2], [2, -1, -2], [2, 0, -3]]",001111100,
709,109,156,S8,S1 S4 S11 S8 S3 S12,6,1,"[[1, 0, -2], [0, 1, -2], [2, 0, -3]]",001001100,"2,0,-2"
710,109,110,S12,S1 S4 S11 S12 S7 S4 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
711,110,166,S2,S1 S4 S7 S2 S7 S5 S2,7,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
712,110,143,S3,S1 S4 S7 S3 S5 S9 S2,7,-1,"[[-1, 0, 0], [-2, 1, 0], [0, 0, 1]]",100100000,
713,110,119,S6,S1 S4 S7 S6 S12 S8 S3,7,-1,"[[1, 0, -2], [0, 1, -2], [0, 0, -1]]",001001001,
714,110,159,S8,S1 S4 S7 S8 S7 S4 S2,7,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
715,111,142,S3,S1 S4 S3 S5 S2,5,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
716,111,118,S6,S1 S4 S6 S5 S1,5,-1,"[[1, 0, 0], [2, 1, -2], [2, 0, -1]]",000101101,
717,112,156,S2,S1 S11 S2 S3 S12,5,-1,"[[-1, 0, 2], [0, 1, -2], [0, 0, 1]]",101001000,
718,112,136,S3,S1 S11 S3 S2 S12,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
719,112,114,S5,S1 S11 S5 S7 S5 S1,6,1,"[[1, 0, 0], [0, 1, -2], [0, 0, 1]]",000001000,"-2,1,1"
720,112,116,S7,S1 S11 S7 S12 S1,5,-1,"[[1, 0, 0], [-2, -1, 2], [0, 0, 1]]",000111000,
721,112,165,S8,S1 S11 S8 S11 S10 S1,6,1,"[[1, -2, 0], [0, 1, 0], [0, -2, 1]]",010000010,"-1,-1,2"
722,113,157,S2,S1 S11 S6 S2 S12 S4,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 2, -1]]",100000011,"0,0,0"
723,113,137,S3,S1 S11 S6 S3 S9 S6 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
724,113,114,S4,S1 S11 S6 S4 S7 S5 S1,7,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
725,113,115,S5,S1 S11 S6 S5 S4 S11 S1,7,-1,"[[1, 0, 0], [0, 1, 0], [2, 2, -1]]",000000111,
726,113,117,S7,S1 S11 S6 S7 S5 S8 S3,7,-1,"[[1, 0, -2], [0, -1, 2], [0, 0, 1]]",001011000,
727,113,164,S8,S1 S11 S6 S8 S6 S11,6,1,"[[1, -2, 0], [0, 1, 0], [0, 0, 1]]",010000000,"1,-1,0"
728,114,159,S2,S1 S5 S7 S2 S7 S4 S2,7,-1,"[[1, -2, 0], [0, 1, -2], [0, 0, -1]]",010001001,
729,114,139,S3,S1 S5 S7 S3 S10 S7 S3,7,-1,"[[-1, 2, 0], [0, 3, -2], [0, 2, -1]]",110011011,
730,114,115,S6,S1 S5 S7 S6 S4 S11 S1,7,-1,"[[1, 0, 0], [4, 1, -2], [2, 0, -1]]",000001101,
