edge_id,u,v,generator,generator_index,flipped_conorm,tau,L,sigma,epsilon,kappa_hist,Omega,s,chi,status
89,8,157,S10,10,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
90,8,10,S11,11,p23,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
91,8,11,S12,12,p02,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
92,9,13,S1,1,p12,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
93,9,17,S2,2,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
94,9,21,S3,3,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
95,9,149,S4,4,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
96,9,73,S5,5,p02,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
97,9,45,S6,6,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
98,9,56,S8,8,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
99,9,111,S9,9,p23,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
100,9,158,S10,10,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
101,9,11,S11,11,p23,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
102,9,10,S12,12,p02,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
103,10,15,S1,1,p12,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
104,10,18,S2,2,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
105,10,23,S3,3,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
106,10,151,S4,4,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
107,10,74,S5,5,p02,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
108,10,47,S6,6,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
109,10,11,S7,7,p12,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
110,10,59,S8,8,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
111,10,110,S9,9,p23,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
112,10,159,S10,10,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
113,11,14,S1,1,p12,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
114,11,19,S2,2,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
115,11,22,S3,3,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
116,11,148,S4,4,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
117,11,72,S5,5,p02,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
118,11,46,S6,6,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
119,11,58,S8,8,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
120,11,109,S9,9,p23,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
121,11,156,S10,10,p03,-1,u2,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.03788693475930534,0.03788693475930534,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
122,12,20,S2,2,p13,-1,u1,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.39943727590997463,0.39943727590997463,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
123,12,16,S3,3,p01,-1,u3,"sigma_minus=(0,4,1,5,2,6,3)",1.0,1.0,0.9657973093709475,0.9657973093709475,0.0,CONSTRUCTED-NORMALIZED-CONGRUENCE-QUOTIENT
