edge_id,global_curve_status,final_positive_status,basis,hax_membership,geom_support_eps,dark_support_eps,geom_median_px,geom_p95_px,was_old_108_NT,newly_resolved_from_old_NT
105,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.0,0.6499999999999995,False,False
106,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX4,0.8846153846153846,1.0,1.0,4.255489785115682,False,False
107,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX3,0.9375,1.0,0.0,2.5784388019908397,False,False
108,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX5,1.0,1.0,1.0,1.90732621144911,True,True
109,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX2,1.0,1.0,0.0,0.0,True,True
110,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.65625,0.9375,2.118033988749895,6.0372431386341985,False,False
111,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX1,1.0,1.0,0.0,1.4142135623730951,False,False
112,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX2,1.0,1.0,1.0,1.0,False,False
113,NT-GEOMETRIC-REALIZATION,NT-GEOMETRIC-REALIZATION,NO-POSITIVE-CERTIFICATE-YET,,0.25,0.5,4.5,5.85,True,False
114,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,1.0,1.0,0.5,2.4433936790360296,False,False
115,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,,0.8787878787878788,1.0,0.0,5.385164807134504,False,False
116,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,PARTIAL-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX2,0.7142857142857143,1.0,0.0,6.301667021068622,False,False
117,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX3,1.0,1.0,1.0,2.0,False,False
118,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX4,1.0,1.0,0.0,0.0,True,True
119,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX4,1.0,1.0,0.0,0.0,True,True
120,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX4,1.0,1.0,1.0,1.0,True,True
121,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX3,1.0,1.0,0.0,0.0,True,True
122,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,STRONG-GLOBAL-CURVILINEAR-STROKE-SUPPORT,BSB-STROKE-SUPPORT,HAX4,1.0,1.0,0.0,0.282842712474618,False,False
